FECHA,DETALLE,ENTRADA,SALIDA,SALDO ,ADQ.,PROM.,DEBE,HABER,SALDO
11/12/2012,COMPRA PLAMCHA BLUE,1532,,"1,532.00",22.48,,34439.90,,"34,439.90"
11/12/2012,COMPRA PLAMCHA BLUE,1602,,"3,134.00",22.48,,36013.52,,"70,453.42"
11/12/2012,COMPRA PLAMCHA BLUE,1735,,"4,869.00",22.48,,39003.41,,"109,456.82"
11/12/2012,COMPRA PLAMCHA BLUE,1736,,"6,605.00",22.48,,39025.89,,"148,482.71"
11/12/2012,COMPRA PLAMCHA BLUE,1625,,"8,230.00",22.48,,36530.57,,"185,013.28"
11/12/2012,COMPRA PLAMCHA BLUE,1548,,"9,778.00",22.48,,34799.58,,"219,812.86"
12/12/2012,VENTA CALAMINAS BLUE F-266,,649.6,"9,128.40",,22.48,,"14,603.24","205,209.62"
18/12/2012,VENTA CALAMINAS BLUE F-275,,269.55,"8,858.85",,22.48,,"6,059.58","199,150.05"
18/12/2012,VENTA CALAMINAS BLUE F-276,,35,"8,823.85",,22.48,,786.81,"198,363.23"
19/12/2012,VENTA CALAMINAS BLUE F-278,,299,"8,524.85",,22.48,,"6,721.62","191,641.61"
28/12/2012,VENTA CALAMINAS BLUE F-292,,126,"8,398.85",,22.48,,"2,832.52","188,809.09"
02/01/2013,Inventario Inicial,8309.6,,8309.6,,22.48031265,186802.41,,186802.406
14/01/2013,Venta Calamina RAL F- 316,,84.63,8224.97,,22.48031265,,1902.508859,184899.8971
17/01/2013,Venta Calamina RAL F - 322,,39,8185.97,,22.48031265,,876.7321932,184023.1649
18/01/2013,Venta Calamina RAL F- 327,,152.67,8033.3,,22.48031265,,3432.069332,180591.0956
25/01/2013,Venta Calamina RAL F- 342,,47.25,7986.05,,22.48031265,,1062.194773,179528.9008
20/02/2013,Venta Calamina RAL F- 372,,43.47,7942.58,,22.48031265,,977.2191908,178551.6816
02/03/2013,Venta Calamina RAL F- 381,,13.86,7928.72,,22.48031265,,311.5771333,178240.1045
05/03/2013,Venta Calamina RAL F- 388,,96.6,7832.12,,22.48031265,,2171.598202,176068.5063
26/03/2013,Venta Calamina RAL F- 404,,158.55,7673.57,,22.48031265,,3564.25357,172504.2527
02/04/2013,Venta Calamina RAL F- 415,,244.02,7429.55,,22.48031265,,5485.645892,167018.6068
08/04/2013,Venta Calamina RAL F- 425,,58.8,7370.75,,22.48031265,,1321.842384,165696.7644
17/04/2013,Venta Calamina RAL F- 432,,438.48,6932.27,,22.48031265,,9857.167489,155839.597
25/04/2013,Venta Calamina RAL F- 439,,17,6915.27,,22.48031265,,382.165315,155457.4316
03/05/2013,Venta Calamina RAL F- 442,,45.36,6869.91,,22.48031265,,1019.706982,154437.7247
14/05/2013,Anulado F-453,,0,6869.91,,22.48031265,,0,154437.7247
16/05/2013,Anulado F-455,,0,6869.91,,22.48031265,,0,154437.7247
16/05/2013,Venta Calamina RAL F- 456,,94.08,6775.83,,22.48031265,,2114.947814,152322.7768
18/05/2013,Venta Calamina RAL F- 458,,17,6758.83,,22.48031265,,382.165315,151940.6115
20/05/2013,Venta Calamina RAL F- 462,,117.6,6641.23,,22.48031265,,2643.684767,149296.9268
31/05/2013,Venta Calamina RAL F- 463,,8.5,6632.73,,22.48031265,,191.0826575,149105.8441
11/06/2013,Venta Calamina RAL F- 472,,28.35,6604.38,,22.48031265,,637.3168635,148468.5272
11/06/2013,Venta Calamina RAL F- 473,,15.62,6588.76,,22.48031265,,351.1424835,148117.3848
14/06/2013,Venta Calamina RAL F- 474,,306.18,6282.58,,22.48031265,,6883.022126,141234.3626
17/06/2013,Venta Calamina RAL F- 475,,112.98,6169.6,,22.48031265,,2539.825723,138694.5369
20/06/2013,Venta Calamina RAL F- 479,,191.1,5978.5,,22.48031265,,4295.987747,134398.5492
22/06/2013,Venta Calamina RAL F- 486,,22.05,5956.45,,22.48031265,,495.6908939,133902.8583
24/06/2013,Venta Calamina RAL F- 489,,6.72,5949.73,,22.48031265,,151.067701,133751.7906
26/06/2013,Venta Calamina RAL F- 492,,46.2,5903.53,,22.48031265,,1038.590444,132713.2001
27/06/2013,Venta Calamina RAL F- 494,,150.41,5753.12,,22.48031265,,3381.263825,129331.9363
29/06/2013,Venta Calamina RAL F- 495,,201.28,5551.84,,22.48031265,,4524.83733,124807.099
29/06/2013,Venta Calamina RAL F- 496,,61.11,5490.73,,22.48031265,,1373.771906,123433.3271
02/07/2013,Venta Calamina RAL F- 501,,432.18,5058.55,,22.48031265,,9715.54152,113717.7855
04/07/2013,Venta Calamina RAL F-  503,,1015.98,4042.57,,22.48031265,,22839.54804,90878.2375
04/07/2013,Venta Calamina RAL F- 504,,216.72,3825.85,,22.48031265,,4871.933357,86006.30414
06/07/2013,Venta Calamina RAL F- 507,,180.59,3645.26,,22.48031265,,4059.719661,81946.58448
06/07/2013,Venta Calamina RAL F- 508,,5,3640.26,,22.48031265,,112.4015632,81834.18292
06/07/2013,Venta Calamina RAL F- 509,,53.53,3586.73,,22.48031265,,1203.371136,80630.81178
10/07/2013,Venta Calamina RAL F- 514,,5.1,3581.63,,22.48031265,,114.6495945,80516.16219
11/07/2013,Venta Calamina RAL F-  517,,3.15,3578.48,,22.48031265,,70.81298484,80445.3492
13/07/2013,Venta Calamina RAL F- 518,,89.25,3489.23,,22.48031265,,2006.367904,78438.9813
