FECHA,DETALLE,ENTRADA,SALIDA,SALDO ,ADQ.,PROM.,DEBE,HABER,SALDO,,,,
28/08/2013,Compra Planchas Calamina RAL 3012013C34702,5896.88,,"5,896.88",,22.48,147633.05,,"147,633.05",,,,
19/09/2013,Venta Calamina RAL F- 606,,75.08,"5,821.80",,25.07,,"1,687.82","145,945.23",,,,
24/09/2013,Venta Calamina RAL F-  614,,385.7,"5,436.10",,25.07,,"9,669.02","136,276.21",,,,
30/09/2013,Venta Calamina RAL F-  618,,31.5,"5,404.60",,25.07,,789.67,"135,486.55",,,,
30/09/2013,Venta Calamina RAL F-  620,,86.3,"5,318.30",,25.07,,"2,163.43","133,323.11",,,,
04/10/2013,Venta Calamina RAL F-  626,,41.6,"5,276.70",,25.07,,"1,042.86","132,280.25",,,,
28/10/2013,Venta Calamina RAL F-  671,,15.2,"5,261.50",,25.07,,381.04,"131,899.21",,,,
14/11/2013,Venta Calamina RAL F- 705,,117,"5,144.50",,25.07,,"2,933.04","128,966.17",,,,
18/11/2013,Venta Calamina RAL F-  708,,167.2,"4,977.30",,25.07,,"4,191.49","124,774.67",,,,
20/11/2013,Venta Calamina RAL F-  719,,0.8,"4,976.50",,25.07,,20.05,"124,754.62",,,,
22/11/2013,Venta Calamina RAL F-  726,,5,"4,971.50",,25.07,,125.34,"124,629.27",,,,
20/12/2013,Venta Calamina RAL F-  802,,18,"4,953.50",,25.07,,451.24,"124,178.04",,,,
30/12/2013,Venta Calamina RAL F- 830,,2.7,"4,950.80",,25.07,,67.69,"124,110.35",,,,
06/01/2014,Venta Calamina RAL F- 855,,55,"4,895.80",,25,,"1,375.25","122,417.70",,,,
08/01/2014,Venta Calamina RAL F- 857,,17.8,"4,878.00",,25,,445.08,"121,972.61",,,,
13/01/2014,Venta Calamina RAL F- 880,,90,"4,788.00",,25,,"2,250.42","119,722.20",,,,
16/01/2014,Venta Calamina RAL F- 888,,56.65,"4,731.35",,25,,"1,416.51","118,305.68",,,,
17/01/2014,Venta Calamina RAL F- 891,,129.4,"4,601.95",,25,,"3,235.60","115,070.08",,,,
17/01/2014,Venta Calamina RAL F- 892,,90,"4,511.95",,25,,"2,250.42","112,819.67",,,,
18/01/2013,Venta Calamina RAL F- 897,,68,"4,443.95",,25,,"1,700.32","111,119.35",,,,
20/01/2014,Venta Calamina RAL F- 899,,150,"4,293.95",,25,,"3,750.70","107,368.66",,,,
