FECHA,DETALLE,ENTRADA,SALIDA,SALDO ,ADQ.,PROM.,DEBE,HABER,SALDO,
02/01/2013,inventario inicial,8398.85,,8398.85,,22.48034976,188809.09,,188809.0856,
04/01/2013,Venta Calamina Blue F- 299,,104.1,8294.75,,22.48034976,,2340.204411,186468.8812,
14/01/2013,Venta Calamina Blue F-  317,,127.95,8166.8,,22.48034976,,2876.360752,183592.5205,
17/01/2013,Venta Calamina Blue F-  319,,49.2,8117.6,,22.48034976,,1106.033208,182486.4873,
30/01/2013,Venta Calamina Blue F-  349,,13.5,8104.1,,22.48034976,,303.4847218,182183.0025,
07/02/2013,Venta Calamina Blue F- 359,,30,8074.1,,22.48034976,,674.4104929,181508.592,
09/02/2013,Venta Calamina Blue F-  362,,16.6,8057.5,,22.48034976,,373.1738061,181135.4182,
09/02/2013,Venta Calamina Blue F-  364,,19.2,8038.3,,22.48034976,,431.6227155,180703.7955,
16/02/2013,Venta Calamina Blue F-  365,,36.1,8002.2,,22.48034976,,811.5406265,179892.2549,
16/02/2013,Venta Calamina Blue F-  366,,30.1,7972.1,,22.48034976,,676.6585279,179215.5964,
22/02/2013,Venta Calamina Blue F-  373,,86.9,7885.2,,22.48034976,,1953.542395,177262.054,
22/02/2013,Venta Calamina Blue F-  374,,3.2,7882,,22.48034976,,71.93711925,177190.1168,
27/02/2013,Venta Calamina Blue F-  376,,45,7837,,22.48034976,,1011.615739,176178.5011,
27/02/2013,Venta Calamina Blue F-  377,,166.6,7670.4,,22.48034976,,3745.226271,172433.2748,
28/02/2013,Venta Calamina Blue F-  379,,31.45,7638.95,,22.48034976,,707.0070001,171726.2678,
02/03/2013,Venta Calamina Blue F-  380,,15,7623.95,,22.48034976,,337.2052465,171389.0626,
02/03/2013,Venta Calamina Blue F-  382,,42.5,7581.45,,22.48034976,,955.414865,170433.6477,
02/03/2013,Venta Calamina Blue F-   383,,12,7569.45,,22.48034976,,269.7641972,170163.8835,
02/03/2013,Venta Calamina Blue F-  384,,27.5,7541.95,,22.48034976,,618.2096185,169545.6739,
04/03/2013,Venta Calamina Blue F-  386,,65,7476.95,,22.48034976,,1461.222735,168084.4512,
07/03/2013,Venta Calamina Blue F-  390,,6.86,7470.09,,22.48034976,,154.2151994,167930.236,
09/03/2013,Venta Calamina Blue F-  393,,2.6,7467.49,,22.48034976,,58.44890939,167871.7871,
11/03/2013,Venta Calamina Blue F-  394,,29,7438.49,,22.48034976,,651.9301432,167219.8569,
15/03/2013,Venta Calamina Blue F-  395,,146.5,7291.99,,22.48034976,,3293.371241,163926.4857,
16/03/2013,Venta Calamina Blue F- 396,,15,7276.99,,22.48034976,,337.2052465,163589.2804,
19/03/2013,Venta Calamina Blue F- 401,,5,7271.99,,22.48034976,,112.4017488,163476.8787,
30/03/2013,Venta Calamina Blue F-  407,,8.4,7263.59,,22.48034976,,188.834938,163288.0437,
30/03/2013,Venta Calamina Blue F-  410,,6,7257.59,,22.48034976,,134.8820986,163153.1616,
01/04/2013,Venta Calamina Blue F-  412,,134.2,7123.39,,22.48034976,,3016.862938,160136.2987,
01/04/2013,Venta Calamina Blue F-  414,,1342.6,5780.79,,22.48034976,,30182.11759,129954.1811,
13/04/2013,Venta Calamina Blue F-  430,,13.3,5767.49,,22.48034976,,298.9886519,129655.1925,
20/04/2013,Venta Calamina Blue F-  434,,46,5721.49,,22.48034976,,1034.096089,128621.0964,
25/04/2013,Venta Calamina Blue F-  438,,4,5717.49,,22.48034976,,89.92139906,128531.175,
03/05/2013,Venta Calamina Blue F-  443,,3,5714.49,,22.48034976,,67.44104929,128463.7339,
11/05/2013,Venta Calamina Blue F-  451,,99,5615.49,,22.48034976,,2225.554627,126238.1793,
11/05/2013,Venta Calamina Blue F-  452,,60,5555.49,,22.48034976,,1348.820986,124889.3583,
16/05/2013,Venta Calamina Blue F-  457,,59.2,5496.29,,22.48034976,,1330.836706,123558.5216,
18/05/2013,Venta Calamina Blue F-  459,,20.1,5476.19,,22.48034976,,451.8550303,123106.6666,
31/05/2013,Venta Calamina Blue F-  465,,323.8,5152.39,,22.48034976,,7279.137254,115827.5293,
20/06/2013,Venta Calamina Blue F-  481,,68.4,5083.99,,22.48034976,,1537.655924,114289.8734,
20/06/2013,Venta Calamina Blue F-  482,,102.6,4981.39,,22.48034976,,2306.483886,111983.3895,
20/06/2013,Venta Calamina Blue F-  483,,51.3,4930.09,,22.48034976,,1153.241943,110830.1476,
22/06/2013,Venta Calamina Blue F-  484,,4.26,4925.83,,22.48034976,,95.76629,110734.3813,
04/07/2013,Venta Calamina Blue F-  505,,59.9,4865.93,,22.48034976,,1346.572951,109387.8083,
27/07/2013,Venta Calamina Blue F-  542,,4.6,4861.33,,22.48034976,,103.4096089,109284.3987,
05/08/2013,Venta Calamina Blue F-  549,,12.12,4849.21,,22.48034976,,272.4618391,109011.9369,
13/08/2013,Venta Calamina Blue F-  558,,735.55,4113.66,,22.48034976,,16535.42127,92476.51561,
15/08/2013,Venta Calamina Blue F-  559,,321.6,3792.06,,22.48034976,,7229.680484,85246.83513,
27/08/2013,Venta Calamina Blue F-  567,,97.5,3694.56,,22.48034976,,2191.834102,83055.00103,
29/08/2013,Venta Calamina Blue F-  570,,37.35,3657.21,,22.48034976,,839.6410637,82215.35996,
23/10/2013,Venta Calamina Blue F-  661,,54.12,3603.09,,22.48034976,,1216.636529,80998.72343,
25/10/2013,Venta Calamina Blue F-   667,,172.08,3431.01,,22.48034976,,3868.418588,77130.30485,
13/11/2013,Venta Calamina Blue F-  700,,1139.65,2291.36,,22.48034976,,25619.73061,51510.57424,
19/11/2013,Venta Calamina Blue F-  713,,75,2216.36,,22.48034976,,1686.026232,49824.548,
23/11/2013,Venta Calamina Blue F-  733,,39.4,2176.96,,22.48034976,,885.7257807,48938.82222,
25/11/2013,Venta Calamina Blue F-  735,,161,2015.96,,22.48034976,,3619.336312,45319.48591,
21/12/2013,Venta Calamina Blue F- 807,,51.6,1964.36,,22.48034976,,1159.986048,44159.49986,
27/12/2013,Venta Calamina Blue F-  824,,25.25,1939.11,,22.48034976,,567.6288316,43591.87103,
11/12/2012,COMPRA PLAMCHA BLUE,1532,,1532,22.48034976,,34439.89584,,34439.89584,
11/12/2012,COMPRA PLAMCHA BLUE,1602,,3134,22.48034976,,36013.52032,,70453.41616,
11/12/2012,COMPRA PLAMCHA BLUE,1735,,4869,22.48034976,,39003.40684,,109456.823,
11/12/2012,COMPRA PLAMCHA BLUE,1736,,6605,22.48034976,,39025.88719,,148482.7102,
11/12/2012,COMPRA PLAMCHA BLUE,1625,,8230,22.48034976,,36530.56837,,185013.2786,
11/12/2012,COMPRA PLAMCHA BLUE,1548,,9778,22.48034976,,34799.58144,,219812.86,
12/12/2012,VENTA CALAMINAS BLUE F-266,,649.6,9128.4,,22.48034976,,14603.23521,205209.6248,
18/12/2012,VENTA CALAMINAS BLUE F-275,,269.55,8858.85,,22.48034976,,6059.578279,199150.0465,
18/12/2012,VENTA CALAMINAS BLUE F-276,,35,8823.85,,22.48034976,,786.8122418,198363.2343,
19/12/2012,VENTA CALAMINAS BLUE F-278,,299,8524.85,,22.48034976,,6721.62458,191641.6097,
28/12/2012,VENTA CALAMINAS BLUE F-292,,126,8398.85,,22.48034976,,2832.52407,188809.0856,
02/01/2014,inventario inicial,1939.11,,1939.11,23.00665254,,44612.43,,44612.43,
21/01/2014,Venta Calamina  Blue F- 903,,77,1862.11,,23.00665254,,1771.512245,42840.91775,
21/01/2014,venta Calamina  Blue F- 904,,23.4,1838.71,,23.00665254,,538.3556694,42302.56209,
23/01/2014,Venta de Calamina Blue  F- 910,,34.3,1804.41,,23.00665254,,789.128182,41513.4339,
23/01/2014,Venta Calamina Blur  F- 911,,26.4,1778.01,,23.00665254,,607.375627,40906.05828,
24/01/2014,Venta Calamina Blue  F- 915,,82.5,1695.51,,23.00665254,,1898.048834,39008.00944,
24/01/2014,Venta Calamina Blue  F- 916,,132,1563.51,,23.00665254,,3036.878135,35971.13131,
25/01/2014,ANULADO F-919,,0,1563.51,,23.00665254,,0,35971.13131,
27/01/2014,Venta Calamina Blue  F- 920,,24,1539.51,,23.00665254,,552.1596609,35418.97165,
27/01/2014,Venta Calamina Blue  F- 921,,87,1452.51,,23.00665254,,2001.578771,33417.39288,
27/01/2014,Venta Calamina Blue F- 922,,36,1416.51,,23.00665254,,828.2394913,32589.15338,
28/01/2014,Venta Calamina  Blue F- 924,,14,1402.51,,23.00665254,,322.0931355,32267.06025,
28/01/2014,Venta Calamina Blue F- 926,,125.95,1276.56,,23.00665254,,2897.687887,29369.37236,
30/01/2014,Venta Calamina Blue F- 934,,374,902.56,,23.00665254,,8604.488049,20764.88431,
04/02/2014,Venta Calamina Blue F- 948,,79.41,823.15,,23.00665254,,1826.958278,18937.92604,
07/02/2014,COMPRA DUI 2014301C7597,5481.96,,6305.11,25.52857372,,139946.62,,158884.546,
10/02/2014,Venta Calamina Blue F- 963,,60,6245.11,,25.19932976,,1511.959785,157372.5863,
24/03/2014,Venta Calamina Blue F- 1020,,77.9,6167.21,,25.19932976,,1963.027788,155409.5585,
12/05/2014,Venta Calamina Blue F- 1078,,794,5373.21,,25.19932976,,20008.26783,135401.2906,
12/05/2014,Venta Calamina Blue F- 1079,,542,4831.21,,25.19932976,,13658.03673,121743.2539,
04/06/2014,Venta Calamina Blue F- 1116,,68,4763.21,,25.19932976,,1713.554423,120029.6995,
06/06/2014,Venta Calamina Blue F- 1118,,7.5,4755.71,,25.19932976,,188.9949732,119840.7045,
27/06/2014,Venta Calamina Blue F- 1151,,93,4662.71,,25.19932976,,2343.537667,117497.1668,
08/08/2014,Venta Calamina Blue F- 1225,,43.25,4619.46,,25.19932976,,1089.871012,116407.2958,
09/08/2014,Venta Calamina Blue F- 1231,,142,4477.46,,25.19932976,,3578.304825,112828.991,
23/08/2014,Venta Calamina Blue F- 1273,,49,4428.46,,25.19932976,,1234.767158,111594.2238,
25/08/2014,Venta Calamina Blue F- 1276,,39.6,4388.86,,25.19932976,,997.8934583,110596.3304,
27/08/2014,Venta Calamina Blue F- 1281,,70.2,4318.66,,25.19932976,,1768.992949,108827.3374,
02/09/2014,Venta Calamina Blue F- 1290,,37.8,4280.86,,25.19932976,,952.5346648,107874.8028,
26/11/2014,Venta Calamina Blue F- 1443,,7.5,4273.36,,25.19932976,,188.9949732,107685.8078,
27/11/2014,Venta Calamina Blue F- 1446,,336,3937.36,,25.19932976,,8466.974798,99218.83301,
27/11/2014,Venta Calamina Blue F- 1448,,215,3722.36,,25.19932976,,5417.855897,93800.97711,
29/11/2014,Venta Calamina Blue F- 1451,,93,3629.36,,25.19932976,,2343.537667,91457.43944,
17/12/2014,Venta Calamina Blue F- 1494,,18.6,3610.76,,25.19932976,,468.7075335,90988.73191,
02/01/2015,inventario inicial,3610.76,,3610.76,25.52857293,,92177.55,,92177.55,
08/10/2015,Venta Calamina  Blue F- 2057,,142.8,3467.96,,25.52857293,,3645.480215,88532.06979,
17/10/2015,Venta Calamina  Blue F- 2087,,332.62,3135.34,,25.52857293,,8491.313929,80040.75586,
26/10/2015,Venta Calamina  Blue F- 2111,,85.28,3050.06,,25.52857293,,2177.0767,77863.67916,
18/11/2015,Venta Calamina  Blue F- 2179,,100.1,2949.96,,25.52857293,,2555.41015,75308.26901,
12/12/2015,Venta Calamina  Blue F- 2238,,30.4,2919.56,,25.52857293,,776.0686171,74532.20039,
19/12/2015,Venta Calamina  Blue F- 2254,,58.5,2861.06,,25.52857293,,1493.421517,73038.77887,
