FECHA,DETALLE,ENTRADA,SALIDA,SALDO ,ADQ.,PROM.,DEBE,HABER,SALDO,OBSERVACIONES
07/01/2022,411 - Venta F-411,0.00,60.90,"26,469.60",,22.81,0.00,"1,389.13","603,897.46",
07/01/2022,412 - Venta F-412,0.00,106.20,"26,363.40",,22.81,0.00,"2,422.42","601,475.04",
11/01/2022,417 - Venta F-417,0.00,3.53,"26,359.88",,22.81,0.00,80.41,"601,394.63",
28/01/2022,435 - Venta Anulada F-435,0.00,0.00,"26,359.88",,22.81,0.00,0.00,"601,394.63",
28/01/2022,438 - Venta F-438,0.00,99.45,"26,260.43",,22.81,0.00,"2,268.45","599,126.18",
28/01/2022,438 - Venta F-438,0.00,150.45,"26,109.98",,22.81,0.00,"3,431.76","595,694.41",
01/02/2022,440 - Venta F-440,0.00,50.16,"26,059.82",,22.81,0.00,"1,144.15","594,550.27",
04/02/2022,442 - Venta F-442,0.00,18.75,"26,041.07",,22.81,0.00,427.69,"594,122.58",
18/02/2022,449 - Venta F+449,0.00,28.20,"26,012.87",,22.81,0.00,643.24,"593,479.34",
22/02/2022,453 - Venta F-453,0.00,6.00,"26,006.87",,22.81,0.00,136.86,"593,342.48",
22/02/2022,454 - Venta Anulada F-454,0.00,0.00,"26,006.87",,22.81,0.00,0.00,"593,342.48",
22/02/2022,455 - Venta F-455,0.00,45.00,"25,961.87",,22.81,0.00,"1,026.45","592,316.03",
24/02/2022,457 - Venta F-457,0.00,48.75,"25,913.12",,22.81,0.00,"1,111.99","591,204.04",
03/03/2022,461 - Venta F-461,0.00,45.00,"25,868.12",,22.81,0.00,"1,026.45","590,177.59",
03/03/2022,463 - Venta F-463,0.00,7.65,"25,860.47",,22.81,0.00,174.50,"590,003.09",
03/03/2022,464 - Venta F-464,0.00,4.50,"25,855.97",,22.81,0.00,102.65,"589,900.45",
07/03/2022,466 - Venta F-466,0.00,39.00,"25,816.97",,22.81,0.00,889.59,"589,010.86",
11/03/2022,469 - Ventar F-469,0.00,85.91,"25,731.06",,22.81,0.00,"1,959.49","587,051.36",
12/03/2022,471 - Venta F-471,0.00,19.80,"25,711.26",,22.81,0.00,451.64,"586,599.73",
14/03/2022,473 - Venta Anulada F-473,0.00,0.00,"25,711.26",,22.81,0.00,0.00,"586,599.73",
14/03/2022,474 - Venta F-474,0.00,8.25,"25,703.01",,22.81,0.00,188.18,"586,411.54",
17/03/2022,476 - Venta Anulada F-476,0.00,0.00,"25,703.01",,22.81,0.00,0.00,"586,411.54",
17/03/2022,477 - Venta Anulada F-477,0.00,0.00,"25,703.01",,22.81,0.00,0.00,"586,411.54",
17/03/2022,478 - Venta Anulada F-478,0.00,0.00,"25,703.01",,22.81,0.00,0.00,"586,411.54",
17/03/2022,479 - Venta Anulada F-479,0.00,0.00,"25,703.01",,22.81,0.00,0.00,"586,411.54",
18/03/2022,482 - Venta F-482,0.00,31.20,"25,671.81",,22.81,0.00,711.67,"585,699.87",
22/03/2022,486 - Venta F-486,0.00,10.50,"25,661.31",,22.81,0.00,239.51,"585,460.37",
22/03/2022,487 - Venta F-487,0.00,45.00,"25,616.31",,22.81,0.00,"1,026.45","584,433.92",
22/03/2022,488 - venta F-488,0.00,7.50,"25,608.81",,22.81,0.00,171.08,"584,262.84",
28/03/2022,1 - Venta F-1,0.00,13.73,"25,595.09",,22.81,0.00,313.07,"583,949.77",
28/03/2022,2 - Venta F-2,0.00,24.00,"25,571.09",,22.81,0.00,547.44,"583,402.33",
30/03/2022,5 - Venta F-5,0.00,75.90,"25,495.19",,22.81,0.00,"1,731.28","581,671.05",
